Article DOI,journal,year,publisher
10.1021/jm049276y,Journal of Medicinal Chemistry,2005.0,American Chemical Society (ACS)
10.1016/S0960-894X(97)00333-8,Bioorganic &amp; Medicinal Chemistry Letters,1997.0,Elsevier BV
10.1016/s0960-894x(98)00587-3,Bioorganic &amp; Medicinal Chemistry Letters,1998.0,Elsevier BV
10.1016/s0960-894x(99)00280-2,Bioorganic &amp; Medicinal Chemistry Letters,1999.0,Elsevier BV
10.1016/s0960-894x(99)00479-5,Bioorganic &amp; Medicinal Chemistry Letters,1999.0,Elsevier BV
10.1016/s0960-894x(00)00214-6,Bioorganic &amp; Medicinal Chemistry Letters,2000.0,Elsevier BV
10.1016/s0968-0896(99)00197-2,Bioorganic &amp; Medicinal Chemistry,1999.0,Elsevier BV
10.1016/s0960-894x(99)00318-2,Bioorganic &amp; Medicinal Chemistry Letters,1999.0,Elsevier BV
10.1021/jm049697f,Journal of Medicinal Chemistry,2004.0,American Chemical Society (ACS)
10.1016/j.bmcl.2003.12.007,Bioorganic &amp; Medicinal Chemistry Letters,2004.0,Elsevier BV
10.1016/s0960-894x(03)00627-9,Bioorganic &amp; Medicinal Chemistry Letters,2003.0,Elsevier BV
10.1016/j.bmcl.2003.11.007,Bioorganic &amp; Medicinal Chemistry Letters,2004.0,Elsevier BV
10.1016/j.bmcl.2004.03.052,Bioorganic &amp; Medicinal Chemistry Letters,2004.0,Elsevier BV
10.1016/s0960-894x(03)00485-2,Bioorganic &amp; Medicinal Chemistry Letters,2003.0,Elsevier BV
10.1016/s0960-894x(03)00244-0,Bioorganic &amp; Medicinal Chemistry Letters,2003.0,Elsevier BV
10.1016/s0960-894x(02)00827-2,Bioorganic &amp; Medicinal Chemistry Letters,2002.0,Elsevier BV
10.1016/s0960-894x(02)00525-5,Bioorganic &amp; Medicinal Chemistry Letters,2002.0,Elsevier BV
10.1016/j.bmcl.2003.10.010,Bioorganic &amp; Medicinal Chemistry Letters,2004.0,Elsevier BV
10.1016/s0960-894x(02)01047-8,Bioorganic &amp; Medicinal Chemistry Letters,2003.0,Elsevier BV
10.1021/jm020056z,Journal of Medicinal Chemistry,2002.0,American Chemical Society (ACS)
10.1021/jm0311442,Journal of Medicinal Chemistry,2004.0,American Chemical Society (ACS)
10.1021/jm990628o,Journal of Medicinal Chemistry,2000.0,American Chemical Society (ACS)
10.1016/s0960-894x(02)00884-3,Bioorganic &amp; Medicinal Chemistry Letters,2003.0,Elsevier BV
10.1016/s0960-894x(03)00651-6,Bioorganic &amp; Medicinal Chemistry Letters,2003.0,Elsevier BV
10.1021/jm0201722,Journal of Medicinal Chemistry,2002.0,American Chemical Society (ACS)
10.1021/jm0201520,Journal of Medicinal Chemistry,2002.0,American Chemical Society (ACS)
10.1021/jm000231g,Journal of Medicinal Chemistry,2000.0,American Chemical Society (ACS)
10.1016/j.bmcl.2004.02.105,Bioorganic &amp; Medicinal Chemistry Letters,2004.0,Elsevier BV
10.1021/jm020171+,Journal of Medicinal Chemistry,2002.0,American Chemical Society (ACS)
10.1016/s0960-894x(03)00381-0,Bioorganic &amp; Medicinal Chemistry Letters,2003.0,Elsevier BV
10.1016/s0960-894x(03)00034-9,Bioorganic &amp; Medicinal Chemistry Letters,2003.0,Elsevier BV
10.1016/j.bmcl.2005.03.034,Bioorganic &amp; Medicinal Chemistry Letters,2005.0,Elsevier BV
10.1016/j.bmcl.2005.05.096,Bioorganic &amp; Medicinal Chemistry Letters,2005.0,Elsevier BV
10.1021/jm049538w,Journal of Medicinal Chemistry,2005.0,American Chemical Society (ACS)
10.1016/j.bmcl.2004.06.041,Bioorganic &amp; Medicinal Chemistry Letters,2004.0,Elsevier BV
10.1021/jm0305568,Journal of Medicinal Chemistry,2004.0,American Chemical Society (ACS)
10.1021/jm020455u,Journal of Medicinal Chemistry,2004.0,American Chemical Society (ACS)
10.1016/j.bmcl.2003.11.008,Bioorganic &amp; Medicinal Chemistry Letters,2004.0,Elsevier BV
10.1021/jm050175p,Journal of Medicinal Chemistry,2005.0,American Chemical Society (ACS)
10.1016/s0960-894x(02)00302-5,Bioorganic &amp; Medicinal Chemistry Letters,2002.0,Elsevier BV
10.1016/j.bmcl.2003.07.001,Bioorganic &amp; Medicinal Chemistry Letters,2003.0,Elsevier BV
10.1016/s0960-894x(02)00524-3,Bioorganic &amp; Medicinal Chemistry Letters,2002.0,Elsevier BV
10.1021/jm0500931,Journal of Medicinal Chemistry,2005.0,American Chemical Society (ACS)
10.1021/jm030317k,Journal of Medicinal Chemistry,2004.0,American Chemical Society (ACS)
10.1021/jm000271k,Journal of Medicinal Chemistry,2000.0,American Chemical Society (ACS)
10.1021/jm049354h,Journal of Medicinal Chemistry,2005.0,American Chemical Society (ACS)
10.1016/j.bmcl.2005.05.131,Bioorganic &amp; Medicinal Chemistry Letters,2005.0,Elsevier BV
10.1021/jm049355+,Journal of Medicinal Chemistry,2005.0,American Chemical Society (ACS)
10.1021/jm058205b,Journal of Medicinal Chemistry,2005.0,American Chemical Society (ACS)
10.1021/jm040099a,Journal of Medicinal Chemistry,2004.0,American Chemical Society (ACS)
10.1021/jm049237m,Journal of Medicinal Chemistry,2004.0,American Chemical Society (ACS)
10.1016/j.bmcl.2005.07.061,Bioorganic &amp; Medicinal Chemistry Letters,2005.0,Elsevier BV
10.1021/jm050512u,Journal of Medicinal Chemistry,2005.0,American Chemical Society (ACS)
10.1016/s0960-894x(02)00577-2,Bioorganic &amp; Medicinal Chemistry Letters,2002.0,Elsevier BV
10.1016/s0960-894x(00)00493-5,Bioorganic &amp; Medicinal Chemistry Letters,2000.0,Elsevier BV
10.1016/j.bmcl.2005.01.004,Bioorganic &amp; Medicinal Chemistry Letters,2005.0,Elsevier BV
10.1016/j.bmcl.2004.02.035,Bioorganic &amp; Medicinal Chemistry Letters,2004.0,Elsevier BV
10.1016/s0006-2952(00)00405-6,Biochemical Pharmacology,2000.0,Elsevier BV
10.1021/jm010988n,Journal of Medicinal Chemistry,2002.0,American Chemical Society (ACS)
10.1021/jm010326y,Journal of Medicinal Chemistry,2001.0,American Chemical Society (ACS)
10.1021/jm0103256,Journal of Medicinal Chemistry,2001.0,American Chemical Society (ACS)
10.1016/j.bmcl.2005.01.052,Bioorganic &amp; Medicinal Chemistry Letters,2005.0,Elsevier BV
10.1016/j.bmcl.2004.09.053,Bioorganic &amp; Medicinal Chemistry Letters,2004.0,Elsevier BV
10.1016/j.bmcl.2004.05.088,Bioorganic &amp; Medicinal Chemistry Letters,2004.0,Elsevier BV
10.1016/j.bmcl.2004.03.105,Bioorganic &amp; Medicinal Chemistry Letters,2004.0,Elsevier BV
10.1016/j.bmcl.2004.04.033,Bioorganic &amp; Medicinal Chemistry Letters,2004.0,Elsevier BV
10.1016/s0960-894x(03)00792-3,Bioorganic &amp; Medicinal Chemistry Letters,2003.0,Elsevier BV
10.1016/s0960-894x(03)00461-x,Bioorganic &amp; Medicinal Chemistry Letters,2003.0,Elsevier BV
10.1021/jm0256169,Journal of Medicinal Chemistry,2003.0,American Chemical Society (ACS)
10.1021/jm050267e,Journal of Medicinal Chemistry,2005.0,American Chemical Society (ACS)
10.1016/j.bmcl.2005.03.024,Bioorganic &amp; Medicinal Chemistry Letters,2005.0,Elsevier BV
10.1016/j.bmcl.2004.09.023,Bioorganic &amp; Medicinal Chemistry Letters,2004.0,Elsevier BV
10.1016/s0960-894x(01)00416-4,Bioorganic &amp; Medicinal Chemistry Letters,2001.0,Elsevier BV
10.1016/s0960-894x(01)00185-8,Bioorganic &amp; Medicinal Chemistry Letters,2001.0,Elsevier BV
10.1021/jm0100032,Journal of Medicinal Chemistry,2001.0,American Chemical Society (ACS)
10.1021/jm960839i,Journal of Medicinal Chemistry,1997.0,American Chemical Society (ACS)
10.1021/jm960083n,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1016/s0960-894x(98)00175-9,Bioorganic &amp; Medicinal Chemistry Letters,1998.0,Elsevier BV
10.1021/jm0408870,Journal of Medicinal Chemistry,2005.0,American Chemical Society (ACS)
10.1021/jm031145u,Journal of Medicinal Chemistry,2004.0,American Chemical Society (ACS)
10.1016/j.bmcl.2005.01.023,Bioorganic &amp; Medicinal Chemistry Letters,2005.0,Elsevier BV
10.1016/s0960-894x(03)00312-3,Bioorganic &amp; Medicinal Chemistry Letters,2003.0,Elsevier BV
10.1046/j.1432-1327.2000.01673.x,European Journal of Biochemistry,2000.0,Wiley
10.1021/jm0308904,Journal of Medicinal Chemistry,2003.0,American Chemical Society (ACS)
10.1021/jm020319p,Journal of Medicinal Chemistry,2002.0,American Chemical Society (ACS)
10.1021/jm031016d,Journal of Medicinal Chemistry,2004.0,American Chemical Society (ACS)
10.1016/j.bmc.2004.12.045,Bioorganic &amp; Medicinal Chemistry,2005.0,Elsevier BV
10.1016/j.bmcl.2004.10.091,Bioorganic &amp; Medicinal Chemistry Letters,2005.0,Elsevier BV
10.1021/jm049353p,Journal of Medicinal Chemistry,2005.0,American Chemical Society (ACS)
10.1021/jm058013g,Journal of Medicinal Chemistry,2005.0,American Chemical Society (ACS)
10.1016/j.bmcl.2003.10.062,Bioorganic &amp; Medicinal Chemistry Letters,2004.0,Elsevier BV
10.1021/jm0108348,Journal of Medicinal Chemistry,2002.0,American Chemical Society (ACS)
10.1016/s0968-0896(99)00064-4,Bioorganic &amp; Medicinal Chemistry,1999.0,Elsevier BV
10.1016/s0968-0896(02)00069-x,Bioorganic &amp; Medicinal Chemistry,2002.0,Elsevier BV
10.1016/s0960-894x(98)00097-3,Bioorganic &amp; Medicinal Chemistry Letters,1998.0,Elsevier BV
10.1016/s0960-894x(00)00357-7,Bioorganic &amp; Medicinal Chemistry Letters,2000.0,Elsevier BV
10.1021/jm9911130,Journal of Medicinal Chemistry,2000.0,American Chemical Society (ACS)
10.1016/s0960-894x(03)00202-6,Bioorganic &amp; Medicinal Chemistry Letters,2003.0,Elsevier BV
10.1016/s0960-894x(03)00203-8,Bioorganic &amp; Medicinal Chemistry Letters,2003.0,Elsevier BV
10.1016/s0960-894x(03)00638-3,Bioorganic &amp; Medicinal Chemistry Letters,2003.0,Elsevier BV
10.1016/j.bmcl.2004.02.015,Bioorganic &amp; Medicinal Chemistry Letters,2004.0,Elsevier BV
10.1016/j.bmcl.2004.02.008,Bioorganic &amp; Medicinal Chemistry Letters,2004.0,Elsevier BV
10.1021/jm010117d,Journal of Medicinal Chemistry,2001.0,American Chemical Society (ACS)
10.1021/jm011020u,Journal of Medicinal Chemistry,2002.0,American Chemical Society (ACS)
10.1021/jm040895g,Journal of Medicinal Chemistry,2005.0,American Chemical Society (ACS)
10.1021/jm034108b,Journal of Medicinal Chemistry,2003.0,American Chemical Society (ACS)
10.1021/jm050756e,Journal of Medicinal Chemistry,2005.0,American Chemical Society (ACS)
10.1074/jbc.M309077200,Journal of Biological Chemistry,2003.0,Elsevier BV
10.1021/bi051142e,Biochemistry,2005.0,American Chemical Society (ACS)
10.1021/jm031106i,Journal of Medicinal Chemistry,2004.0,American Chemical Society (ACS)
10.1021/jm030933g,Journal of Medicinal Chemistry,2003.0,American Chemical Society (ACS)
10.1021/jm020951i,Journal of Medicinal Chemistry,2003.0,American Chemical Society (ACS)
